business_name,domain,website,city,state,email,email_tier,email_source,domain_mismatch,status,region
Las Vegas Plastic Surgery,jjrothmd.com,https://www.jjrothmd.com/,Las Vegas,NV,contact@jjrothmd.com,B_unconfirmed,https://www.jjrothmd.com/contact/,,new_with_email,las_vegas
Elevate Wellness,elevatewellnesslv.com,https://www.elevatewellnesslv.com/,Las Vegas,NV,,,,,new_no_email,las_vegas
Xena Health,xenahealthlv.com,https://xenahealthlv.com/,Las Vegas,NV,,,,,already_in_queue,las_vegas
Naked MD,nakedmd.com,https://www.nakedmd.com/,Las Vegas,NV,concierge@nakedmd.com,A_verified,https://www.nakedmd.com/pages/contact,,new_with_email,las_vegas
White Coat Aesthetics,whitecoataesthetics.com,https://whitecoataesthetics.com/,Las Vegas,NV,info@whitecoataesthetics.com,B_unconfirmed,https://whitecoataesthetics.com/contact/,,new_with_email,las_vegas
LuxeFactor Aesthetics,luxefactorlv.com,https://www.luxefactorlv.com/,Las Vegas,NV,office@luxefactorlv.com,A_verified,https://www.luxefactorlv.com/contact/,,new_with_email,las_vegas
NuCanvas Aesthetics and Wellness,mynucanvas.com,https://mynucanvas.com/,Las Vegas,NV,,,,,new_no_email,las_vegas
Henderson Internal Medicine Med Spa,hendersoninternalmedicine.com,https://hendersoninternalmedicine.com/,Las Vegas,NV,,,,,new_no_email,las_vegas
Dynamic Stem Cell Therapy,stemcellpowernow.com,https://stemcellpowernow.com/,Las Vegas,NV,contact@stemcellpowernow.com,B_unconfirmed,https://stemcellpowernow.com/contact-call-us/,,new_with_email,las_vegas
évolué Med Spa,evoluespa.com,https://evoluespa.com/,Las Vegas,NV,,,,,new_no_email,las_vegas
The Med Spa Las Vegas,themedspalasvegas.com,https://themedspalasvegas.com/,Las Vegas,NV,themedspalasvegas@gmail.com,A_verified,https://themedspalasvegas.com/pages/contact,yes,new_with_email,las_vegas
Chic la Vie Med Spa,chiclavie.com,https://chiclavie.com/,Las Vegas,NV,info@chiclavie.com,B_unconfirmed,https://chiclavie.com/contact-us/,,new_with_email,las_vegas
Gameday Men's Health,gamedaymenshealth.com,https://gamedaymenshealth.com/,Las Vegas,NV,,,,,already_in_queue,las_vegas
Talon Wellness,talonwellness.com,https://www.talonwellness.com/,Las Vegas,NV,info@talonwellness.com,B_unconfirmed,https://www.talonwellness.com/faqs,,new_with_email,las_vegas
LV Surgery Associates,lvsurgical.com,https://lvsurgical.com/,Las Vegas,NV,,,,,new_no_email,las_vegas
Mobile IV Therapy Las Vegas,mobileivtherapylasvegas.com,https://mobileivtherapylasvegas.com/,Las Vegas,NV,,,,,new_no_email,las_vegas
Reset IV,resetiv.com,https://resetiv.com/,Las Vegas,NV,customercare@resetiv.com,A_verified,https://resetiv.com/pages/contact-us,,new_with_email,las_vegas
Advanced TRT Clinic,advancedtrtclinic.com,https://advancedtrtclinic.com/,Las Vegas,NV,,,,,new_no_email,las_vegas
Ageless Men's Health,agelessmenshealth.com,https://www.agelessmenshealth.com/,Las Vegas,NV,,,,,new_no_email,las_vegas
AlphaGenics,alphagenicshealth.com,https://alphagenicshealth.com/,Las Vegas,NV,Alphagenicshealth@gmail.com,A_verified,https://alphagenicshealth.com/contact/,yes,new_with_email,las_vegas
Boca Med Spa,bocamedspalv.com,https://bocamedspalv.com/,Las Vegas,NV,info@bocamedspalv.com,B_unconfirmed,https://bocamedspalv.com/contact/,,new_with_email,las_vegas
RejuvLV Wellness & Aesthetics,rejuvlv.com,https://rejuvlv.com/,Las Vegas,NV,info@rejuvlv.com,B_unconfirmed,https://rejuvlv.com/contact-us/,,new_with_email,las_vegas
Estetica Wellness,esteticawellness.com,https://www.esteticawellness.com/,Las Vegas,NV,,,,,new_no_email,las_vegas
WoW Health & Beauty Medical Spa,lasvegashealthandbeautyspa.com,https://lasvegashealthandbeautyspa.com/,Las Vegas,NV,,,,,new_no_email,las_vegas
Las Vegas Medical Institute,lasvegasmedicalinstitute.com,https://lasvegasmedicalinstitute.com/,Las Vegas,NV,,,,,new_no_email,las_vegas
Degree Wellness,degreewellness.com,https://degreewellness.com/,Las Vegas,NV,contactus@degreewellness.com,A_verified,https://www.crunchbase.com/organization/degree-wellness,,new_with_email,las_vegas
Aesthetics MedSpa,aestheticsmedspa.com,https://aestheticsmedspa.com/,Reno,NV,support@aestheticsreno.com,A_verified,https://aestheticsmedspa.com/contact/,yes,new_with_email,northern_nv
RenewMD Medical Spa,renewmd.com,https://renewmd.com/,Reno,NV,,,,,new_no_email,northern_nv
Avance Plastic Surgery Institute,avanceplasticsurgery.com,https://www.avanceplasticsurgery.com/,Reno,NV,info@avanceinstitute.com,A_verified,https://www.avanceplasticsurgery.com/contact-us-dr-erez-dayan/,yes,new_with_email,northern_nv
Alpine Wellness,alpinewellnessnv.com,https://alpinewellnessnv.com/,Reno,NV,info@alpinewellnessnv.com,B_unconfirmed,https://www.alpinewellnessnv.com/contact-us/,,new_with_email,northern_nv
Boost Integrated Medical Center,boostnevada.com,https://www.boostnevada.com/,Reno,NV,,,,,new_no_email,northern_nv
Renewed Vitality and Wellness,renewedvitalityandwellness.com,https://renewedvitalityandwellness.com/,Reno,NV,amber@renewedvitalityandwellness.com,A_verified,https://renewedvitalityandwellness.com/contact-us,,new_with_email,northern_nv
New Theory Medical,newtheorymedical.com,https://www.newtheorymedical.com/,Reno,NV,,,,,new_no_email,northern_nv
DURM Aesthetics & Wellness,durmnv.com,https://www.durmnv.com/,Reno,NV,durmaesthetics@gmail.com,A_verified,https://www.durmnv.com/contact/,yes,new_with_email,northern_nv
Murphy Plastic Surgery & Medical Spa,nnpsa.com,https://www.nnpsa.com/,Reno,NV,,,,,new_no_email,northern_nv
Reno Regenerative Medicine,renoregen.com,https://renoregen.com/,Reno,NV,info@renoregen.com,B_unconfirmed,https://renoregen.com/contact/,,new_with_email,northern_nv
To Know Oneself Reno,reno.toknowoneself.co,https://reno.toknowoneself.co/,Reno,NV,,,,,new_no_email,northern_nv
bioworX,mybioworx.com,https://mybioworx.com/,Sparks,NV,,,,,new_no_email,northern_nv
Sierra Nevada Wellness Center,sierranevadawellness.com,https://sierranevadawellness.com/,Sparks,NV,staff@snwc.biz,A_verified,https://www.sierranevadawellness.com/contact-sierra-nevada-wellness-center,yes,new_with_email,northern_nv
Infinite Vitality Wellness,infinitevitalitynv.com,https://www.infinitevitalitynv.com/,Carson City,NV,infinitevitalitymedspa@gmail.com,A_verified,https://www.infinitevitalitynv.com/contact-infinite-vitality-wellness/,yes,new_with_email,northern_nv
The Nevada Center for Alternative & Anti-Aging Medicine,antiagingmedicine.com,https://antiagingmedicine.com/,Carson City,NV,,,,,new_no_email,northern_nv
Renew Skincare,renewskincc.com,https://www.renewskincc.com/,Carson City,NV,,,,,new_no_email,northern_nv
Minden Med Spa,mindenmedspa.com,https://www.mindenmedspa.com/,Minden,NV,info@mindenmedspa.com,B_unconfirmed,https://www.mindenmedspa.com/,,new_with_email,northern_nv
South Lake Med Spa,southlakemedspatahoe.com,https://www.southlakemedspatahoe.com/,Minden,NV,info@southlakemedspatahoe.com,B_unconfirmed,https://www.southlakemedspatahoe.com/blank-7,,new_with_email,northern_nv
Cosmetic Medicine Center,cosmeticmedicinecenter.com,https://www.cosmeticmedicinecenter.com/,Gardnerville,NV,cosmeticmedicinecenter@yahoo.com,A_verified,https://www.cosmeticmedicinecenter.com/contact-us,yes,new_with_email,northern_nv
High Sierra Restorative Health,restorativehealthnv.com,https://restorativehealthnv.com/,Incline Village,NV,,,,,new_no_email,northern_nv
Elko Replenish Med Spa,elkoreplenishmedspa.com,https://elkoreplenishmedspa.com/,Elko,NV,elkoreplenishmedspa@gmail.com,A_verified,https://elkoreplenishmedspa.com/contact/,yes,new_with_email,northern_nv
Elite Health & Wellness Elko,elitehealthelko.com,https://www.elitehealthelko.com/,Elko,NV,elitehealthelko@gmail.com,A_verified,https://www.elitehealthelko.com/contact,yes,new_with_email,northern_nv
Ascension Health,ascensionhealthnv.com,https://ascensionhealthnv.com/,Fernley,NV,,,,,new_no_email,northern_nv
Enliven Medical Spa and Wellness Center,enlivenwellnessmedspa.com,https://enlivenwellnessmedspa.com/,Mesquite,NV,,,,,new_no_email,northern_nv
Enhanced Aesthetics & Wellness,enhanced-aw.com,https://www.enhanced-aw.com/,Pahrump,NV,Info@aestheticenhancements.online,A_verified,https://www.enhanced-aw.com/contact/,yes,new_with_email,northern_nv
Elite Health & Wellness,theelitehealth.com,https://theelitehealth.com/,Boulder City,NV,info@theelitehealth.com,B_unconfirmed,https://theelitehealth.com/contact/,,new_with_email,northern_nv
Optimal Well MD,optimalwellmd.com,https://optimalwellmd.com/,Virginia Beach,VA,hello@optimalwellmd.com,B_unconfirmed,https://www.optimalwellmd.com/contact/,,new_with_email,national_va_nj_ct
Fountain of You MD,fountainofyoumd.com,https://fountainofyoumd.com/,Virginia Beach,VA,info@fountainofyoumd.com,B_unconfirmed,https://fountainofyoumd.com/contact/,,new_with_email,national_va_nj_ct
Sunshine Health DPC,sunshinehealthdpc.com,https://sunshinehealthdpc.com/,Virginia Beach,VA,info@sunshinehealthdpc.com,B_unconfirmed,https://sunshinehealthdpc.com/contact-us/,,new_with_email,national_va_nj_ct
Salt Spa & Wellness Center,vbsaltspa.com,https://vbsaltspa.com/,Virginia Beach,VA,,,,,new_no_email,national_va_nj_ct
Riva MedSpa,rivamedspa.com,https://rivamedspa.com/,Virginia Beach,VA,,,,,new_no_email,national_va_nj_ct
Venture Wellness RVA,venturewellnessrva.com,https://venturewellnessrva.com/,Midlothian,VA,info@venturewellnessrva.com,B_unconfirmed,https://venturewellnessrva.com/contact-us/,,new_with_email,national_va_nj_ct
RVA Revive,rvarevive.com,https://rvarevive.com/,Glen Allen,VA,contact@rvarevive.com,B_unconfirmed,https://rvarevive.com/contact/,,new_with_email,national_va_nj_ct
Moke Aesthetics,mokeaesthetics.com,https://mokeaesthetics.com/,Henrico,VA,kirsten@mokeaesthetics.com,A_verified,https://www.mokeaesthetics.com/contact,,new_with_email,national_va_nj_ct
Regenerate Richmond,regeneraterichmond.com,https://regeneraterichmond.com/,Richmond,VA,,,,,new_no_email,national_va_nj_ct
Vita Pure IV,vitapureinfusions.com,https://vitapureinfusions.com/,Richmond,VA,,,,,new_no_email,national_va_nj_ct
Lucid Med Spa,lucid-medspa.com,https://lucid-medspa.com/,Glen Allen,VA,,,,,new_no_email,national_va_nj_ct
Dermlounge,dermlounge.com,https://dermlounge.com/,Richmond,VA,,,,,new_no_email,national_va_nj_ct
Richmond Aesthetic Weight Loss,weightlossclinicrichmond.com,https://weightlossclinicrichmond.com/,Richmond,VA,,,,,new_no_email,national_va_nj_ct
Richmond Plastic Surgery,richmondplasticsurgery.com,https://richmondplasticsurgery.com/,Richmond,VA,,,,,new_no_email,national_va_nj_ct
Neil Zemmel MD,drneilzemmel.com,https://drneilzemmel.com/,Richmond,VA,,,,,new_no_email,national_va_nj_ct
Sage Vine Aesthetics,sagevineaesthetics.com,https://sagevineaesthetics.com/,Mechanicsville,VA,,,,,new_no_email,national_va_nj_ct
Advanced Aesthetics USA,advancedaestheticsusa.com,https://advancedaestheticsusa.com/,Richmond,VA,,,,,new_no_email,national_va_nj_ct
ProMD Health Arlington,promdhealth.com,https://promdhealth.com/,Arlington,VA,consults@promdhealth.com,A_verified,https://promdhealth.com/contact/,,do_not_contact,national_va_nj_ct
RxWellness Aesthetics & Anti-Aging,rxwellnessmedspa.com,https://rxwellnessmedspa.com/,Arlington,VA,Request-medspa@rxwellness.com,A_verified,https://www.rxwellnessmedspa.com/contact-us/,yes,new_with_email,national_va_nj_ct
NOVA Concierge Medicine & Aesthetics,novaconciergemed.com,https://novaconciergemed.com/,Arlington,VA,info@novacma.com,A_verified,https://novaconciergemed.com/contact-us/,yes,new_with_email,national_va_nj_ct
Evexia Medspa,evexiamedspa.com,https://evexiamedspa.com/,McLean,VA,evexia@evexiamedspa.com,A_verified,https://evexiamedspa.com/contact-us/,,already_in_queue,national_va_nj_ct
Harmonie Aesthetics,harmoniemedspa.com,https://harmoniemedspa.com/,Fairfax,VA,,,,,new_no_email,national_va_nj_ct
Institute for Hormonal Balance,donovitz.com,https://donovitz.com/,Arlington,VA,,,,,new_no_email,national_va_nj_ct
Elevera Health,eleverahealth.com,https://eleverahealth.com/,Arlington,VA,,,,,new_no_email,national_va_nj_ct
Bare Beauty VA,barebeautyva.com,https://barebeautyva.com/,Alexandria,VA,,,,,new_no_email,national_va_nj_ct
Weight Loss and Vitality,weightlossandvitality.com,https://weightlossandvitality.com/,Alexandria,VA,,,,,new_no_email,national_va_nj_ct
Peak by MD,peakbymd.com,https://peakbymd.com/,Jersey City,NJ,info@peakbymd.com,B_unconfirmed,https://peakbymd.com/contact/,,new_with_email,national_va_nj_ct
Downtown Medspa,downtownmedspa.com,https://downtownmedspa.com/,Jersey City,NJ,marietta@downtownmedspa.com,A_verified,https://www.downtownmedspa.com/contactus,,new_with_email,national_va_nj_ct
Ethos Aesthetics + Wellness,myethosspa.com,https://myethosspa.com/,Hoboken,NJ,info@myethosspa.com,B_unconfirmed,https://myethosspa.com/contact/,,new_with_email,national_va_nj_ct
1Aesthetic,1aesthetic.com,https://1aesthetic.com/,Hoboken,NJ,skingoods@yahoo.com,A_verified,https://1aesthetic.com/contact-us/,yes,new_with_email,national_va_nj_ct
The Aesthetic Concierge,theaestheticconcierge.co,https://theaestheticconcierge.co/,Hoboken,NJ,,,,,do_not_contact,national_va_nj_ct
Hormone and Weight Loss Doctors NJ,hormoneweightlossdoctorsnj.com,https://hormoneweightlossdoctorsnj.com/,Newark,NJ,,,,,new_no_email,national_va_nj_ct
NJ Health & Wellness,njhwllc.com,https://njhwllc.com/,Newark,NJ,,,,,new_no_email,national_va_nj_ct
Age Well MD,agewellmdnj.com,https://agewellmdnj.com/,Livingston,NJ,,,,,new_no_email,national_va_nj_ct
New Jersey Functional Medicine,newjerseyfunctionalmed.com,https://newjerseyfunctionalmed.com/,Florham Park,NJ,,,,,new_no_email,national_va_nj_ct
Iorio Plastic Surgery & Medspa,iorioplasticsurgery.com,https://iorioplasticsurgery.com/,Nutley,NJ,,,,,new_no_email,national_va_nj_ct
Arora MD Spa,aroramdspa.com,https://aroramdspa.com/,East Brunswick,NJ,,,,,new_no_email,national_va_nj_ct
Greenwich MD,greenwich-md.com,https://greenwich-md.com/,Stamford,CT,drquerido@greenwich-md.com,A_verified,https://greenwich-md.com/contact-us/,,new_with_email,national_va_nj_ct
Serotonin Centers Stamford,serotonincenters.com,https://serotonincenters.com/,Stamford,CT,ContactUs@serotonincenters.com,A_verified,https://www.serotonincenters.com/stamford/contact/,,new_with_email,national_va_nj_ct
Dr. Sobo Holistic Medicine,drsobo.com,https://drsobo.com/,Stamford,CT,optimalhealth@optonline.net,A_verified,https://drsobo.com/contact,yes,new_with_email,national_va_nj_ct
Integrated Health Alliance,integratedhealthall.com,https://integratedhealthall.com/,Stamford,CT,,,,,new_no_email,national_va_nj_ct
Refreshed Medical Aesthetics,refreshedmed.com,https://refreshedmed.com/,West Hartford,CT,refreshedmedical@gmail.com,A_verified,https://www.refreshedmed.com/about-us,yes,new_with_email,national_va_nj_ct
CT Medical Weight Loss & Beyond,ctmedweightloss.com,https://ctmedweightloss.com/,Glastonbury,CT,Glastonbury@CTMedWeightloss.com,A_verified,https://ctmedweightloss.com/contact/,,new_with_email,national_va_nj_ct
Greenwich Medical Spa,greenwichmedicalspa.com,https://greenwichmedicalspa.com/,West Hartford,CT,,,,,already_in_queue,national_va_nj_ct
Glastonbury MedSpa (Dr. Beam),doctorbeam.com,https://doctorbeam.com/,Glastonbury,CT,,,,,new_no_email,national_va_nj_ct
